course1,course2,score
comp1100,comp1100,1.0
comp1100,comp1110,0.9045
comp1100,comp1600,0.8789
comp1100,comp1710,0.8865
comp1100,comp1730,0.8963
comp1110,comp1100,0.9045
comp1110,comp1110,1.0
comp1110,comp1600,0.8822
comp1110,comp1710,0.8952
comp1110,comp1730,0.9008
comp1600,comp1100,0.8789
comp1600,comp1110,0.8822
comp1600,comp1600,1.0
comp1600,comp1710,0.8482
comp1600,comp1730,0.874
comp1710,comp1100,0.8865
comp1710,comp1110,0.8952
comp1710,comp1600,0.8482
comp1710,comp1710,1.0
comp1710,comp1730,0.8919
comp1730,comp1100,0.8963
comp1730,comp1110,0.9008
comp1730,comp1600,0.874
comp1730,comp1710,0.8919
comp1730,comp1730,1.0
