score,s1,s2
0.9222,This course teaches introductory programming within a problem solving framework applicable to the sciences.,"This is an advanced undergraduate course that covers advanced topics in Artificial Intelligence. Topics vary from one offering to the next and are likely to be drawn from the following list: planning, scheduling, games, search, reasoning (constraint-based, model-based, spatial, temporal), knowledge representation, decision-making under uncertainty, reinforcement learning, agents, foundations."
0.9199,"The course emphasises technical programming, the simulation of scientific systems and the processing of scientific data.","This is an advanced undergraduate course that covers advanced topics in Artificial Intelligence. Topics vary from one offering to the next and are likely to be drawn from the following list: planning, scheduling, games, search, reasoning (constraint-based, model-based, spatial, temporal), knowledge representation, decision-making under uncertainty, reinforcement learning, agents, foundations."
0.8765,There is an emphasis on designing and writing correct code.,"Improve their skills at navigating through, and critically examining, the scientific literature on the taught topic(s)."
0.8973,Testing and debugging are seen as integral to the programming enterprise.,"This is an advanced undergraduate course that covers advanced topics in Artificial Intelligence. Topics vary from one offering to the next and are likely to be drawn from the following list: planning, scheduling, games, search, reasoning (constraint-based, model-based, spatial, temporal), knowledge representation, decision-making under uncertainty, reinforcement learning, agents, foundations."
0.8988,Both top-down and object oriented design are taught.,"This is an advanced undergraduate course that covers advanced topics in Artificial Intelligence. Topics vary from one offering to the next and are likely to be drawn from the following list: planning, scheduling, games, search, reasoning (constraint-based, model-based, spatial, temporal), knowledge representation, decision-making under uncertainty, reinforcement learning, agents, foundations."
0.8835,There will be an introduction to widely-used computer science algorithms and to machine architecture.,"This is an advanced undergraduate course that covers advanced topics in Artificial Intelligence. Topics vary from one offering to the next and are likely to be drawn from the following list: planning, scheduling, games, search, reasoning (constraint-based, model-based, spatial, temporal), knowledge representation, decision-making under uncertainty, reinforcement learning, agents, foundations."
0.9195,The course will be taught using one or more programming languages which are widely applicable to scientific work.,Gain both a wide and a deep knowledge of the topic(s) taught in the current instance of the course.
0.8971,"Design, write and debug small programs to solve practical problems of a scientific nature.","This is an advanced undergraduate course that covers advanced topics in Artificial Intelligence. Topics vary from one offering to the next and are likely to be drawn from the following list: planning, scheduling, games, search, reasoning (constraint-based, model-based, spatial, temporal), knowledge representation, decision-making under uncertainty, reinforcement learning, agents, foundations."
0.9154,Have a practical understanding of the processing of scientific data.,"Improve their skills at navigating through, and critically examining, the scientific literature on the taught topic(s)."
0.8933,Be able to describe and design small computer programs using both procedural and object-oriented methodologies.,"This is an advanced undergraduate course that covers advanced topics in Artificial Intelligence. Topics vary from one offering to the next and are likely to be drawn from the following list: planning, scheduling, games, search, reasoning (constraint-based, model-based, spatial, temporal), knowledge representation, decision-making under uncertainty, reinforcement learning, agents, foundations."
0.8789,Have an awareness of good program organisation.,Gain both a wide and a deep knowledge of the topic(s) taught in the current instance of the course.
0.8868,Have an understanding of some widely-used algorithms.,Gain both a wide and a deep knowledge of the topic(s) taught in the current instance of the course.
0.9069,Have an understanding of practical aspects of machine architecture including finite precision and rounding errors.,"This is an advanced undergraduate course that covers advanced topics in Artificial Intelligence. Topics vary from one offering to the next and are likely to be drawn from the following list: planning, scheduling, games, search, reasoning (constraint-based, model-based, spatial, temporal), knowledge representation, decision-making under uncertainty, reinforcement learning, agents, foundations."
