score,s1,s2
0.8368,Information theory studies the fundamental limits of the representation and transmission of information.,"The Advanced version of this course covers these topics in more depth, allowing students to deepen their understanding and experience."
0.8467,Information theory studies the fundamental limits of the representation and transmission of information.,"Students learn the basic ingredients of imperative programs: mutable variables, sequencing, conditionals, iteration, functions, eager evaluation, and side effects."
0.8468,Information theory studies the fundamental limits of the representation and transmission of information.,"Distinguish language definition from implementation, syntax and parsing from semantics and evaluation."
0.8484,Information theory studies the fundamental limits of the representation and transmission of information.,The course also introduces students to standard productivity tools for software development that will be used throughout the course and remainder of the computer science degree.
0.8527,Information theory studies the fundamental limits of the representation and transmission of information.,"Discuss basic algorithmic analysis for simple algorithms; determine appropriate algorithmic approaches to a problem (brute-force, greedy, divide-and-conquer, recursive backtracking, heuristic, dynamic programming)."
0.8529,Information theory studies the fundamental limits of the representation and transmission of information.,This course is the first of three core computer science courses on programming.
0.8545,Information theory studies the fundamental limits of the representation and transmission of information.,These include distributed software revision control systems.
0.8559,Information theory studies the fundamental limits of the representation and transmission of information.,"Students learn the organization of programming languages using types, how programs are evaluated (reduction), functional composition, recursive functions, algebraic data types, pattern matching, parametric polymorphism, higher-order functions."
0.8593,Information theory studies the fundamental limits of the representation and transmission of information.,"Describe, understand and evolve programs, via documentation, testing, and debugging."
0.8612,Information theory studies the fundamental limits of the representation and transmission of information.,"The course also introduces imperative programming as an alternative paradigm to functional programming, highlighting similarities and contrasting differences."
0.8744,Information theory studies the fundamental limits of the representation and transmission of information.,Understand basic types and the benefits of static typing.
0.8785,Information theory studies the fundamental limits of the representation and transmission of information.,"Discuss, use, and apply the fundamentals of data structures, algorithms, and design; create, implement, and debug algorithms for solving simple problems, including recursively, using divide-and-conquer, and via decomposition."
0.8860,Information theory studies the fundamental limits of the representation and transmission of information.,Understand the legal context for protection of software as intellectual property.
0.8862,Information theory studies the fundamental limits of the representation and transmission of information.,"Apply fundamental programming concepts, using a functional programming language, to solve simple problems."
0.8867,Information theory studies the fundamental limits of the representation and transmission of information.,The functional paradigm demonstrates elegant solutions to many programming problems.
0.8878,Information theory studies the fundamental limits of the representation and transmission of information.,"Students also gain exposure to structural induction and proof, introduction to asymptotic analysis of basic data structures, abstract data types, modules, laziness, and streams."
